mesh,audio,strategy,beta0,beta1,chi,A_ratio,S
ellipsoid,A4,mel,160,3,157,0.07007441597674488,0.42688689898433724
ellipsoid,A4,energy,114,17,97,0.053604998908546996,0.3792858091864564
ellipsoid,A5,direct,149,0,149,0.05635358733302308,0.5161101535414404
ellipsoid,A5,mel,141,1,140,0.05311888724396616,0.5072861059238366
ellipsoid,A5,energy,141,1,140,0.0490234580576794,0.5154206064946064
ellipsoid,A6,direct,90,19,71,0.0482364571171342,0.38882025826784883
ellipsoid,A6,mel,62,3,59,0.03690739074926003,0.40305263432441746
ellipsoid,A6,energy,40,0,40,0.025032857404430044,0.34358231569271763
ellipsoid,A7,direct,55,0,55,0.02774926384301725,0.33454925303100386
ellipsoid,A7,mel,42,0,42,0.020941092646633092,0.33353716710753073
ellipsoid,A7,energy,64,0,64,0.03702012763976367,0.33333339144215196
flat_plate,A1,direct,20,0,20,0.018059381695745322,0.7065035355149214
flat_plate,A1,mel,1,35,-34,0.02198755229058271,0.7303954498900942
flat_plate,A1,energy,1,34,-33,0.021936537088052353,0.7304438001915609
flat_plate,A2,direct,32,8,24,0.026629935720844954,0.7306461809283235
flat_plate,A2,mel,2,10,-8,0.020610141822263117,0.7254996325478137
flat_plate,A2,energy,1,32,-31,0.021834506682991642,0.7285166455747477
flat_plate,A3,direct,58,48,10,0.04790327517600305,0.6025724491696164
flat_plate,A3,mel,46,154,-108,0.057698194061831194,0.5422029927917796
flat_plate,A3,energy,52,9,43,0.04366901336598357,0.5268733040879913
flat_plate,A4,direct,118,62,56,0.08463422099785871,0.5019766499414435
flat_plate,A4,mel,110,118,-8,0.0907560453015013,0.500661244261875
flat_plate,A4,energy,95,134,-39,0.08126721763085526,0.5205627823576884
flat_plate,A5,direct,129,48,81,0.07534945413733411,0.5515057655969949
flat_plate,A5,mel,120,17,103,0.06514641363126314,0.7215663841001633
flat_plate,A5,energy,130,38,92,0.06637077849199162,0.7216870978889035
flat_plate,A6,direct,61,8,53,0.03907764513825158,0.7484031059411179
flat_plate,A6,mel,41,103,-62,0.03902662993572125,0.581156293842117
flat_plate,A6,energy,35,102,-67,0.03632282420161246,0.7206900261110082
flat_plate,A7,direct,34,14,20,0.028262422201816313,0.7321792091766564
flat_plate,A7,mel,37,22,15,0.029384756657484117,0.7332003599811511
flat_plate,A7,energy,29,4,25,0.026731966125905667,0.7307561837336506
